Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
2;28.7;66;0;5;-0.58464998;-0.62607002;0.856609169;-136.9593864;223.0406136;5
2;28.1;72;0;5;-0.46101001;-0.76962;0.897131637;-149.0779733;210.9220267;5
2;28.5;67;0;4;-0.69634002;-0.88857001;1.128913675;-141.9154911;218.0845089;5
1;27.8;72;0;5;-1.04908;-0.6717;1.245692473;-122.6304313;237.3695687;6
1;26.9;78;0;4;-1.0287499;-0.55580002;1.169290391;-118.3809063;241.6190937;6
1;26.2;78;0;3;-0.98931998;-0.31049001;1.036898293;-107.42404;252.57596;6
1;26.5;80;4.6;4;-1.00019;-0.16834;1.014257557;-99.55379879;260.4462012;6
1;25.2;85;63;3;-0.98193002;-0.25971001;1.015694764;-104.8148841;255.1851159;6
1;27.6;71;2;5;-1.09148;-0.65344;1.272129091;-120.9078335;239.0921665;6
1;28.4;66;;5;-0.98881;-0.74779999;1.239737892;-127.0988522;232.9011478;6
1;28.1;72;;4;-0.79412001;-0.74080002;1.086007026;-133.0104615;226.9895385;6
2;28.2;72;;4;-0.64671999;-0.66553998;0.928003346;-135.8216604;224.1783396;5
1;27.2;70;;4;-0.65899003;-0.54150999;0.85293665;-129.4108736;230.5891264;6
1;27.1;68;10.9;3;-0.67022002;-0.42214999;0.792089319;-122.2055038;237.7944962;6
1;26.9;71;;4;-0.81840003;-0.63753003;1.037411754;-127.9184342;232.0815658;6
1;27.8;72;;4;-0.87585002;-0.49568999;1.006390493;-119.5078237;240.4921763;6
1;27.8;72;;4;-1.04786;-0.34907001;1.104472929;-108.4242863;251.5757137;6
1;27.6;64;1.6;3;-1.20897;-0.15367;1.218697226;-97.24391794;262.7560821;6
1;26.4;73;5.6;3;-1.45192;-8.90E-02;1.45464521;-93.50773589;266.4922641;6
1;27.2;68;;5;-1.24663;-4.20E-02;1.247337307;-91.92961253;268.0703875;6
1;27.6;70;;4;-0.92453998;-0.13342001;0.93411727;-98.21164192;261.7883581;6
1;26.2;82;6;4;-0.72084999;-0.1824;0.743568738;-104.1997692;255.8002308;6
1;27;79;65.6;3;-0.54385;-0.22493;0.588528952;-112.4694151;247.5305849;6
2;27.1;74;;4;-0.28437999;-0.43643001;0.520906069;-146.9115321;213.0884679;5
2;27.7;72;;4;-7.27E-03;-0.62357002;0.623612398;-179.3320374;180.6679626;5
3;28.1;74;;4;0.31566101;-0.88977998;0.944113492;160.4671982;160.4671982;4
3;27.8;70;;4;0.30883601;-1.19441;1.233691586;165.5026717;165.5026717;4
3;28.5;60;;4;0.70594198;-1.25585;1.440664188;150.6586644;150.6586644;4
4;27.1;76;;4;1.0189;-0.86619002;1.337326572;130.3686177;130.3686177;3
4;26.5;65;;4;1.48929;-0.46915999;1.561440297;107.4856047;107.4856047;3
4;27.5;62;;3;1.68477;-0.15515999;1.691899694;95.2618493;95.2618493;3
5;26.3;63;;4;1.73773;0.251037;1.755769099;81.77977158;81.77977158;2
5;26.8;69;;4;1.77846;0.35373801;1.813298252;78.75060986;78.75060986;2
5;26.1;65;;3;1.56338;0.229385;1.580118509;81.65290583;81.65290583;2
